benchmark,predictor,budget_label,budget_entries,mode,instructions,ipc,fwd_dir_rate,rev_dir_rate,fwd_addr_rate,rev_addr_rate,tage_fwd_tag_matches,sc_fwd_inversions,loop_fwd_hits,loop_rev_hits
li,tagesc,256KB,262144,frmt,10000001,1.5989,0.9346,0.9909,0.9102,0.9856,844522,34203,141582,141582
li,tagesc,256KB,262144,twin,10000001,1.5803,0.9294,0.9906,0.9049,0.9853,580538,72583,140558,142425
li,tagesc,512KB,524288,frmt,10000001,1.5939,0.9339,0.9930,0.9094,0.9877,825154,33819,141553,141553
li,tagesc,512KB,524288,twin,10000001,1.5758,0.9292,0.9930,0.9046,0.9877,570294,71699,140517,142383
li,tagesc,1MB,1048576,frmt,10000001,1.5946,0.9348,0.9960,0.9102,0.9907,798439,32608,141722,141722
li,tagesc,1MB,1048576,twin,10000001,1.5746,0.9294,0.9960,0.9047,0.9907,535943,70213,140682,142548
li,tscl,16KB,16384,frmt,10000001,1.6269,0.9347,0.9578,0.9166,0.9524,981486,36756,137763,137727
li,tscl,16KB,16384,twin,10000001,1.6084,0.9303,0.9507,0.9124,0.9454,771334,38839,136643,138502
li,tscl,32KB,32768,frmt,10000001,1.6227,0.9341,0.9744,0.9162,0.9691,866210,38127,144878,144875
li,tscl,32KB,32768,twin,10000001,1.6063,0.9298,0.9707,0.9118,0.9654,724946,39918,143834,145688
li,tscl,64KB,65536,frmt,10000001,1.6289,0.9359,0.9821,0.9178,0.9767,917888,27798,144801,144802
li,tscl,64KB,65536,twin,10000001,1.6046,0.9295,0.9768,0.9114,0.9714,707224,41449,143767,145621
li,tscl,128KB,131072,frmt,10000001,1.6234,0.9348,0.9866,0.9167,0.9813,875715,29766,144822,144822
li,tscl,128KB,131072,twin,10000001,1.6045,0.9300,0.9861,0.9118,0.9807,634156,68101,143787,145641
li,tscl,256KB,262144,frmt,10000001,1.6238,0.9349,0.9908,0.9167,0.9855,853833,33510,144929,144929
li,tscl,256KB,262144,twin,10000001,1.6186,0.9301,0.9906,0.9119,0.9853,622971,72033,143893,145746
li,tscl,512KB,524288,frmt,10000001,1.6184,0.9341,0.9930,0.9159,0.9876,847858,32190,144935,144935
li,tscl,512KB,524288,twin,10000001,1.6180,0.9337,0.9930,0.9155,0.9877,562639,47272,143896,145749
li,tscl,1MB,1048576,frmt,10000001,1.6179,0.9345,0.9960,0.9162,0.9907,836459,33299,145061,145061
li,tscl,1MB,1048576,twin,10000001,1.6124,0.9295,0.9960,0.9110,0.9907,579921,44202,144020,145873
perl,tage,16KB,16384,frmt,10000001,1.1010,0.9695,0.9688,0.9256,0.9286,771272,0,84953,82346
perl,tage,16KB,16384,twin,10000001,1.0991,0.9691,0.9791,0.9252,0.9389,513896,0,84879,84954
perl,tage,32KB,32768,frmt,10000001,1.0986,0.9690,0.9825,0.9251,0.9422,695756,0,98730,95555
perl,tage,32KB,32768,twin,10000001,1.1017,0.9708,0.9847,0.9269,0.9445,492597,0,98866,98737
perl,tage,64KB,65536,frmt,10000001,1.0999,0.9698,0.9887,0.9260,0.9484,657634,0,123165,119106
perl,tage,64KB,65536,twin,10000001,1.1009,0.9704,0.9896,0.9265,0.9494,482425,0,123283,123172
perl,tage,128KB,131072,frmt,10000001,1.1026,0.9712,0.9920,0.9273,0.9518,652500,0,123401,118659
perl,tage,128KB,131072,twin,10000001,1.0999,0.9701,0.9922,0.9262,0.9519,467155,0,123538,123426
perl,tage,256KB,262144,frmt,10000001,1.1016,0.9710,0.9932,0.9271,0.9530,625705,0,126507,126514
perl,tage,256KB,262144,twin,10000001,1.1000,0.9701,0.9933,0.9262,0.9531,459713,0,126621,126514
perl,tage,512KB,524288,frmt,10000001,1.1016,0.9709,0.9945,0.9270,0.9543,600593,0,126507,126510
perl,tage,512KB,524288,twin,10000001,1.1001,0.9702,0.9946,0.9263,0.9543,460762,0,126621,126514
perl,tage,1MB,1048576,frmt,10000001,1.1027,0.9715,0.9958,0.9276,0.9555,611518,0,126507,126507
perl,tage,1MB,1048576,twin,10000001,1.1000,0.9702,0.9957,0.9263,0.9555,450305,0,126621,126514
